Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
65,1,78.94,4,2,2,422,Potential Loyalists
218,1,274.84,3,2,4,324,Potential Loyalists
188,1,287.3,3,2,4,324,Potential Loyalists
426,1,57.68,1,2,1,121,At Risk
126,1,494.27,4,2,4,424,Potential Loyalists
295,1,116.2,2,2,3,223,At Risk
180,1,31.94,3,2,1,321,Potential Loyalists
178,1,93.49,3,2,2,322,Potential Loyalists
344,1,162.82,2,2,3,223,At Risk
427,1,124.5,1,2,3,123,At Risk
233,1,164.4,3,2,3,323,Potential Loyalists
247,1,55.9,3,2,1,321,Potential Loyalists
183,1,910.2,3,2,4,324,Potential Loyalists
267,1,72.55,3,2,2,322,Potential Loyalists
281,1,125.52,2,2,3,223,At Risk
486,2,111.56,1,4,3,143,Others
328,2,114.74000000000001,2,4,3,243,Others
180,1,191.67,3,2,4,324,Potential Loyalists
443,1,134.01,1,2,3,123,At Risk
346,1,32.01,2,2,1,221,At Risk
616,1,74.49,1,2,2,122,At Risk
241,1,44.09,3,2,1,321,Potential Loyalists
94,1,31.13,4,2,1,421,Potential Loyalists
150,1,64.03,4,2,2,422,Potential Loyalists
114,1,202.62,4,2,4,424,Potential Loyalists
242,1,170.78,3,2,3,323,Potential Loyalists
354,1,128.65,2,2,3,223,At Risk
107,1,52.25,4,2,1,421,Potential Loyalists
204,1,140.56,3,2,3,323,Potential Loyalists
111,1,68.35,4,2,2,422,Potential Loyalists
288,1,253.99,2,2,4,224,At Risk
159,1,63.88,4,2,2,422,Potential Loyalists
334,1,203.67,2,2,4,224,At Risk
71,1,215.31,4,2,4,424,Potential Loyalists
74,1,264.04,4,2,4,424,Potential Loyalists
327,1,76.2,2,2,2,222,At Risk
372,1,104.03,2,2,2,222,At Risk
